module_accession,completeness,pathway_name,pathway_class,matching_ko,missing_ko,sample
M00121,10.0,"Heme biosynthesis, plants and bacteria, glutamate => heme",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,K00230,"K00228,K01599,K01698,K01719,K01749,K01772,K01845,K01885,K02492",Oleococcus
M00126,10.0,"Tetrahydrofolate biosynthesis, GTP => THF",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,K00796,"K00287,K01077,K01495,K11754,K13940",Oleococcus
M00144,9.09,NADH,Pathway modules; Energy metabolism; ATP synthesis,K00343,"K00330,K00331,K00332,K00333,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342",Oleococcus
M00122,8.33,"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,K00798,"K00768,K02225,K02226,K02231,K02232,K02233",Oleococcus
M00055,7.69,N-glycan precursor biosynthesis,Pathway modules; Glycan metabolism; Glycan biosynthesis,K01001,"K00729,K03842,K03843,K03844,K03845,K03846,K03847,K03848,K03849,K03850,K07432,K07441",Oleococcus
M00569,6.67,"Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",Pathway modules; Xenobiotics biodegradation; Aromatics degradation,K01821,"K00446,K01617,K10217,K18364,K18365,K18366",Oleococcus
M00026,5.56,"Histidine biosynthesis, PRPP => histidine",Pathway modules; Amino acid metabolism; Histidine metabolism,"K02502,K04486","K00013,K00765,K00817,K01496,K01523,K01693,K01814,K02500,K02501",Oleococcus
M00117,5.56,"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,K03186,"K00568,K03179,K03181,K03182,K03183,K03184,K03185,K18800",Oleococcus
M00001,100.0,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,"K00150,K00873,K00918,K00927,K01689,K01803,K01834,K06859,K11645",,Palaeococcus
M00002,100.0,"Glycolysis, core module involving three-carbon compounds",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,"K00150,K00873,K00927,K01689,K01803,K01834",,Palaeococcus
